#CLOCKS
('DPLL4_ENABLE', '0x46018', '')
('DPLL4_CFGCR0', '0x164294', '')
('DPLL4_CFGCR1', '0x164298', '')
('DPLL0_SSC', '0x164b10', '')
('DPLL1_SSC', '0x164c10', '')
('DPLL4_SSC', '0x164e10', '')
('TRANS_CLK_SEL_D', '0x4614c', '')
#PIPE_A_PLANE
('PLANE_OFFSET_4_A', '0x704a4', '')
('PLANE_OFFSET_5_A', '0x705a4', '')
('PLANE_OFFSET_6_A', '0x706a4', '')
('PLANE_OFFSET_7_A', '0x707a4', '')
('PLANE_KEYMSK_4_A', '0x70498', '')
('PLANE_KEYMSK_5_A', '0x70598', '')
('PLANE_KEYMSK_6_A', '0x70698', '')
('PLANE_KEYMSK_7_A', '0x70798', '')
('PLANE_KEYVAL_4_A', '0x70494', '')
('PLANE_KEYVAL_5_A', '0x70594', '')
('PLANE_KEYVAL_6_A', '0x70694', '')
('PLANE_KEYVAL_7_A', '0x70794', '')
('PLANE_STRIDE_4_A', '0x70488', '')
('PLANE_STRIDE_5_A', '0x70588', '')
('PLANE_STRIDE_6_A', '0x70688', '')
('PLANE_STRIDE_7_A', '0x70788', '')
('PLANE_SURF_4_A', '0x7049c', '')
('PLANE_SURF_5_A', '0x7059c', '')
('PLANE_SURF_6_A', '0x7069c', '')
('PLANE_SURF_7_A', '0x7079c', '')
('PLANE_SURFLIVE_4_A', '0x704ac', '')
('PLANE_SURFLIVE_5_A', '0x705ac', '')
('PLANE_SURFLIVE_6_A', '0x706ac', '')
('PLANE_SURFLIVE_7_A', '0x707ac', '')
#PIPE_B_PLANE
('PLANE_OFFSET_4_B', '0x714a4', '')
('PLANE_OFFSET_5_B', '0x715a4', '')
('PLANE_OFFSET_6_B', '0x716a4', '')
('PLANE_OFFSET_7_B', '0x717a4', '')
('PLANE_KEYMSK_4_B', '0x71498', '')
('PLANE_KEYMSK_5_B', '0x71598', '')
('PLANE_KEYMSK_6_B', '0x71698', '')
('PLANE_KEYMSK_7_B', '0x71798', '')
('PLANE_KEYVAL_4_B', '0x71494', '')
('PLANE_KEYVAL_5_B', '0x71594', '')
('PLANE_KEYVAL_6_B', '0x71694', '')
('PLANE_KEYVAL_7_B', '0x71794', '')
('PLANE_STRIDE_4_B', '0x71488', '')
('PLANE_STRIDE_5_B', '0x71588', '')
('PLANE_STRIDE_6_B', '0x71688', '')
('PLANE_STRIDE_7_B', '0x71788', '')
('PLANE_SURF_4_B', '0x7149c', '')
('PLANE_SURF_5_B', '0x7159c', '')
('PLANE_SURF_6_B', '0x7169c', '')
('PLANE_SURF_7_B', '0x7179c', '')
('PLANE_SURFLIVE_4_B', '0x714ac', '')
('PLANE_SURFLIVE_5_B', '0x715ac', '')
('PLANE_SURFLIVE_6_B', '0x716ac', '')
('PLANE_SURFLIVE_7_B', '0x717ac', '')
#PIPE_C_PLANE
('PLANE_OFFSET_4_C', '0x724a4', '')
('PLANE_OFFSET_5_C', '0x725a4', '')
('PLANE_OFFSET_6_C', '0x726a4', '')
('PLANE_OFFSET_7_C', '0x727a4', '')
('PLANE_KEYMSK_4_C', '0x72498', '')
('PLANE_KEYMSK_5_C', '0x72598', '')
('PLANE_KEYMSK_6_C', '0x72698', '')
('PLANE_KEYMSK_7_C', '0x72798', '')
('PLANE_KEYVAL_4_C', '0x72494', '')
('PLANE_KEYVAL_5_C', '0x72594', '')
('PLANE_KEYVAL_6_C', '0x72694', '')
('PLANE_KEYVAL_7_C', '0x72794', '')
('PLANE_STRIDE_4_C', '0x72488', '')
('PLANE_STRIDE_5_C', '0x72588', '')
('PLANE_STRIDE_6_C', '0x72688', '')
('PLANE_STRIDE_7_C', '0x72788', '')
('PLANE_SURF_4_C', '0x7249c', '')
('PLANE_SURF_5_C', '0x7259c', '')
('PLANE_SURF_6_C', '0x7269c', '')
('PLANE_SURF_7_C', '0x7279c', '')
('PLANE_SURFLIVE_4_C', '0x724ac', '')
('PLANE_SURFLIVE_5_C', '0x725ac', '')
('PLANE_SURFLIVE_6_C', '0x726ac', '')
('PLANE_SURFLIVE_7_C', '0x727ac', '')
#PIPE_D_PLANE
('PLANE_AUX_DIST_1_D', '0x731c0', '')
('PLANE_AUX_DIST_2_D', '0x732c0', '')
('PLANE_AUX_DIST_3_D', '0x733c0', '')
('PLANE_AUX_DIST_4_D', '0x734c0', '')
('PLANE_AUX_DIST_5_D', '0x735c0', '')
('PLANE_AUX_DIST_6_D', '0x736c0', '')
('PLANE_AUX_DIST_7_D', '0x737c0', '')
('PLANE_CTL_1_D', '0x73180', '')
('PLANE_CTL_2_D', '0x73280', '')
('PLANE_CTL_3_D', '0x73380', '')
('PLANE_CTL_4_D', '0x73480', '')
('PLANE_CTL_5_D', '0x73580', '')
('PLANE_CTL_6_D', '0x73680', '')
('PLANE_CTL_7_D', '0x73780', '')
('PLANE_BUF_CFG_1_D', '0x7327c', '')
('PLANE_BUF_CFG_2_D', '0x7337c', '')
('PLANE_BUF_CFG_3_D', '0x7347c', '')
('PLANE_BUF_CFG_4_D', '0x7357c', '')
('PLANE_BUF_CFG_5_D', '0x7367c', '')
('PLANE_BUF_CFG_6_D', '0x7377c', '')
('PLANE_BUF_CFG_7_D', '0x7387c', '')
('PLANE_COLOR_CTL_1_D', '0x731cc', '')
('PLANE_COLOR_CTL_2_D', '0x732cc', '')
('PLANE_COLOR_CTL_3_D', '0x733cc', '')
('PLANE_COLOR_CTL_4_D', '0x734cc', '')
('PLANE_COLOR_CTL_5_D', '0x735cc', '')
('PLANE_COLOR_CTL_6_D', '0x736cc', '')
('PLANE_COLOR_CTL_7_D', '0x737cc', '')
('PLANE_OFFSET_1_D', '0x731a4', ''
('PLANE_OFFSET_2_D', '0x732a4', '')
('PLANE_OFFSET_3_D', '0x733a4', '')
('PLANE_OFFSET_4_D', '0x734a4', '')
('PLANE_OFFSET_5_D', '0x735a4', '')
('PLANE_OFFSET_6_D', '0x736a4', '')
('PLANE_OFFSET_7_D', '0x737a4', '')
('PLANE_KEYMAX_1_D', '0x731a0', '')
('PLANE_KEYMAX_2_D', '0x732a0', '')
('PLANE_KEYMAX_3_D', '0x733a0', '')
('PLANE_KEYMAX_4_D', '0x734a0', '')
('PLANE_KEYMAX_5_D', '0x735a0', '')
('PLANE_KEYMAX_6_D', '0x736a0', '')
('PLANE_KEYMAX_7_D', '0x737a0', '')
('PLANE_KEYMSK_1_D', '0x73198', '')
('PLANE_KEYMSK_2_D', '0x73298', '')
('PLANE_KEYMSK_3_D', '0x73398', '')
('PLANE_KEYMSK_4_D', '0x73498', '')
('PLANE_KEYMSK_5_D', '0x73598', '')
('PLANE_KEYMSK_6_D', '0x73698', '')
('PLANE_KEYMSK_7_D', '0x73798', '')
('PLANE_KEYVAL_1_D', '0x73194', '')
('PLANE_KEYVAL_2_D', '0x73294', '')
('PLANE_KEYVAL_3_D', '0x73394', '')
('PLANE_KEYVAL_4_D', '0x73494', '')
('PLANE_KEYVAL_5_D', '0x73594', '')
('PLANE_KEYVAL_6_D', '0x73694', '')
('PLANE_KEYVAL_7_D', '0x73794', '')
('PLANE_STRIDE_1_D', '0x73188', '')
('PLANE_STRIDE_2_D', '0x73288', '')
('PLANE_STRIDE_3_D', '0x73388', '')
('PLANE_STRIDE_4_D', '0x73488', '')
('PLANE_STRIDE_5_D', '0x73588', '')
('PLANE_STRIDE_6_D', '0x73688', '')
('PLANE_STRIDE_7_D', '0x73788', '')
('PLANE_SURF_1_D', '0x7319c', '')
('PLANE_SURF_2_D', '0x7329c', '')
('PLANE_SURF_3_D', '0x7339c', '')
('PLANE_SURF_4_D', '0x7349c', '')
('PLANE_SURF_5_D', '0x7359c', '')
('PLANE_SURF_6_D', '0x7369c', '')
('PLANE_SURF_7_D', '0x7379c', '')
('PLANE_SURFLIVE_1_D', '0x731ac', '')
('PLANE_SURFLIVE_2_D', '0x732ac', '')
('PLANE_SURFLIVE_3_D', '0x733ac', '')
('PLANE_SURFLIVE_4_D', '0x734ac', '')
('PLANE_SURFLIVE_5_D', '0x735ac', '')
('PLANE_SURFLIVE_6_D', '0x736ac', '')
('PLANE_SURFLIVE_7_D', '0x737ac', '')
('PLANE_POS_1_D', '0x7318c', '')
('PLANE_POS_2_D', '0x7328c', '')
('PLANE_POS_3_D', '0x7338c', '')
('PLANE_POS_4_D', '0x7348c', '')
('PLANE_POS_5_D', '0x7358c', '')
('PLANE_POS_6_D', '0x7368c', '')
('PLANE_POS_7_D', '0x7378c', '')
('PLANE_SIZE_1_D', '0x73190', '')
('PLANE_SIZE_2_D', '0x73290', '')
('PLANE_SIZE_3_D', '0x73390', '')
('PLANE_SIZE_4_D', '0x73490', '')
('PLANE_SIZE_5_D', '0x73590', '')
('PLANE_SIZE_6_D', '0x73690', '')
('PLANE_SIZE_7_D', '0x73790', '')
('PLANE_WM_1_D_0', '0x73240', '')
('PLANE_WM_1_D_1', '0x73244', '')
('PLANE_WM_1_D_2', '0x73248', '')
('PLANE_WM_1_D_3', '0x7324c', '')
('PLANE_WM_1_D_4', '0x73250', '')
('PLANE_WM_1_D_5', '0x73254', '')
('PLANE_WM_1_D_6', '0x73258', '')
('PLANE_WM_1_D_7', '0x7325c', '')
('PLANE_WM_2_D_0', '0x73340', '')
('PLANE_WM_2_D_1', '0x73344', '')
('PLANE_WM_2_D_2', '0x73348', '')
('PLANE_WM_2_D_3', '0x7334c', '')
('PLANE_WM_2_D_4', '0x73350', '')
('PLANE_WM_2_D_5', '0x73354', '')
('PLANE_WM_2_D_6', '0x73358', '')
('PLANE_WM_2_D_7', '0x7335c', '')
('PLANE_WM_3_D_0', '0x73440', '')
('PLANE_WM_3_D_1', '0x73444', '')
('PLANE_WM_3_D_2', '0x73448', '')
('PLANE_WM_3_D_3', '0x7344c', '')
('PLANE_WM_3_D_4', '0x73450', '')
('PLANE_WM_3_D_5', '0x73454', '')
('PLANE_WM_3_D_6', '0x73458', '')
('PLANE_WM_3_D_7', '0x7345c', '')
('PLANE_WM_4_D_0', '0x73540', '')
('PLANE_WM_4_D_1', '0x73544', '')
